Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 EW30 ,Gul Circle,卡尔圈,கல் சர்க்கல்,18 June 2017,Tuas,GCL,"Pioneer Planning Area, Tuas",,1.3197555,103.6608303,2017-06-01T00:00:00Z,2017-06
 EW31 ,Tuas Crescent,大士弯,துவாஸ் கிரசண்ட்,18 June 2017,Tuas Crescent,TCR,Tuas,,1.3210266000000002,103.6490755,2017-06-01T00:00:00Z,2017-06
 EW32 ,Tuas West Road,大士西路,துவாஸ் வெஸ்ட் ரோடு,18 June 2017,Tuas West,TWR,Tuas,,1.3300485,103.6396175,2017-06-01T00:00:00Z,2017-06
 EW33 ,Tuas Link,大士连路,துவாஸ் லிங்க்,18 June 2017,Tuas Link,TLK,Tuas,Bus transport Tuas Bus Terminal,1.3403171,103.6368663,2017-06-01T00:00:00Z,2017-06
 CG1  DT35 ,Expo,博览,எக்ஸ்போ,10 January 2001,Somapah,XPO,Tampines,,1.3344041000000002,103.96148070000001,2001-01-01T00:00:00Z,2001-01
 CG2 ,Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,8 February 2002,Changi Airport,CGA,Changi,"Silhouette An-124.svg Singapore Changi Airport, Bus transport Changi Airport Bus Terminal",1.3576001,103.9884873,2002-02-01T00:00:00Z,2002-02
 NE1  CC29 ,HarbourFront,港湾,துறைமுகம்,20 June 2003,World Trade Centre,HBF,Bukit Merah,"Bus transport HarbourFront Bus Interchange, Sentosa Express",1.2656038,103.8208568,2003-06-01T00:00:00Z,2003-06
 NE4  DT19 ,Chinatown,牛车水,சைனாடவுன்,20 June 2003,People's Park,CNT,Outram,,1.2844913,103.8435939,2003-06-01T00:00:00Z,2003-06
 NE5 ,Clarke Quay,克拉码头,கிளார்க் கீ,20 June 2003,Clarke Quay,CQY,Singapore River Planning Area,,1.2881553999999997,103.8467181,2003-06-01T00:00:00Z,2003-06
 NE7  DT12 ,Little India,小印度,லிட்டில் இந்தியா,20 June 2003,Kandang Kerbau,LTI,"Kallang, Rochor",,1.3062896000000002,103.84939190000001,2003-06-01T00:00:00Z,2003-06
 NE8 ,Farrer Park,花拉公园,ஃபேரர் பார்க்,20 June 2003,Farrer Park,FRP,"Kallang, Rochor",,1.3126142,103.85486159999999,2003-06-01T00:00:00Z,2003-06
 NE9 ,Boon Keng,文庆,பூன் கெங்,20 June 2003,Boon Keng,BNK,Kallang,,1.3200375,103.861623,2003-06-01T00:00:00Z,2003-06
 NE10 ,Potong Pasir,波东巴西,போத்தோங் பாசிர்,20 June 2003,Sennett,PTP,Toa Payoh,,1.331273,103.86878979999999,2003-06-01T00:00:00Z,2003-06
 NE11 ,Woodleigh,兀里,உட்லீ,20 June 2011,Woodleigh,WLH,Toa Payoh,,1.3391274,103.8707373,2011-06-01T00:00:00Z,2011-06
 NE12  CC13 ,Serangoon,实龙岗,சிராங்கூன்,20 June 2003,Serangoon,SER,Serangoon,Bus transport Serangoon Bus Interchange,1.3497872,103.8736348,2003-06-01T00:00:00Z,2003-06
 NE13 ,Kovan,高文,கோவன்,20 June 2003,Kovan,KVN,Hougang,,1.360175,103.8851627,2003-06-01T00:00:00Z,2003-06
 NE14  CR8 ,Hougang,后港,ஹவ்காங்,20 June 2003,Hougang,HGN,Hougang,Bus transport Hougang Central Bus Interchange,1.3713312,103.8925439,2003-06-01T00:00:00Z,2003-06
 NE15 ,Buangkok,万国,புவாங்கோக்,15 January 2006,Buangkok,BGK,Sengkang,,1.3829481000000001,103.89335820000001,2006-01-01T00:00:00Z,2006-01
 NE16  STC ,Sengkang,盛港,செங்காங்,20 June 2003,Sengkang,SKG,Sengkang,"Bus transport Compassvale Bus Interchange,  Bus transport Sengkang Bus Interchange",1.3916608999999998,103.8954533,2003-06-01T00:00:00Z,2003-06
