Lines,Station_Name,Opening,End date,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 NS21  DT11 ,Newton,12/12/1987,4/20/2019,Newton Circus,NEW,Newton,,1.3137897,103.8377317,1987-12-12T00:00:00Z
 NS22  TE14 ,Orchard,12/12/1987,4/20/2019,"Scotts, Orchard Boulevard",ORC,"Orchard Planning Area, River Valley Planning Area",,1.3040084,103.831781,1987-12-12T00:00:00Z
 NS23 ,Somerset,12/12/1987,4/20/2019,Killiney,SOM,Orchard Planning Area,,1.3004441,103.8384389,1987-12-12T00:00:00Z
 NS24  NE6  CC1 ,Dhoby Ghaut,12/12/1987,4/20/2019,The Istana,DBG,Museum Planning Area,,1.2990936,103.8457886,1987-12-12T00:00:00Z
 NS25  EW13 ,City Hall,12/12/1987,4/20/2019,Saint Andrew's,CTH,Downtown Core,,1.293076,103.8520677,1987-12-12T00:00:00Z
 NS26  EW14 ,Raffles Place,12/12/1987,4/20/2019,Central,RFP,Downtown Core,,1.2830173,103.8513365,1987-12-12T00:00:00Z
 NS27  CE2  TE20 ,Marina Bay,11/4/1989,4/20/2019,"Telok Ayer Basin, Marina South",MRB,"Downtown Core, Straits View Planning Area",,1.2709259,103.8634087,1989-11-04T00:00:00Z
 NS28 ,Marina South Pier,11/23/2014,4/20/2019,"Marina View, Marina Pier",MSP,Straits View Planning Area,Marina South Pier,1.2714087,103.863631,2014-11-23T00:00:00Z
 EW1  CR5 ,Pasir Ris,12/16/1989,4/20/2019,Pasir Ris,PSR,Pasir Ris,Bus transport Pasir Ris Bus Interchange,1.3731912,103.9493534,1989-12-16T00:00:00Z
 EW2  DT32 ,Tampines,12/16/1989,4/20/2019,Tampines North,TAM,Tampines,"Bus transport Tampines Bus Interchange, Bus transport Tampines Concourse Bus Interchange",1.3544303,103.94276,1989-12-16T00:00:00Z
 EW3 ,Simei,12/16/1989,4/20/2019,Tampines South,SIM,Tampines,,1.34312,103.9534285,1989-12-16T00:00:00Z
 EW4   CG ,Tanah Merah,11/4/1989,4/20/2019,"Bedok, Changi",TNM,Bedok,,1.3272444,103.9464897,1989-11-04T00:00:00Z
 EW5 ,Bedok,11/4/1989,4/20/2019,Chai Chee,BDK,Bedok,Bus transport Bedok Bus Interchange,1.3240113,103.9301725,1989-11-04T00:00:00Z
 EW6 ,Kembangan,11/4/1989,4/20/2019,Frankel,KEM,Bedok,,1.3209998,103.9129039,1989-11-04T00:00:00Z
 EW7 ,Eunos,11/4/1989,4/20/2019,Eunos,EUN,Geylang,Bus transport Eunos Bus Interchange,1.3197342,103.9028883,1989-11-04T00:00:00Z
 EW8  CC9 ,Paya Lebar,11/4/1989,4/20/2019,Paya Lebar,PYL,Geylang,,1.3181607,103.8931436,1989-11-04T00:00:00Z
 EW9 ,Aljunied,11/4/1989,4/20/2019,Aljunied,ALJ,Geylang,,1.3163668,103.8827723,1989-11-04T00:00:00Z
 EW10 ,Kallang,11/4/1989,4/20/2019,Geylang,KAL,Kallang,Bus transport Lorong 1 Geylang Bus Terminal,1.3114784,103.8713507,1989-11-04T00:00:00Z
 EW11 ,Lavender,11/4/1989,4/20/2019,Crawford,LVR,Kallang,,1.3074261,103.862848,1989-11-04T00:00:00Z
 EW12  DT14 ,Bugis,11/4/1989,4/20/2019,"Rochore, Victoria",BGS,"Downtown Core, Rochor",,1.3006608,103.8558619,1989-11-04T00:00:00Z
