Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 DT21 ,Bencoolen,明古连,பென்கூலன்,21 October 2017,Bencoolen,BCL,"Museum Planning Area, Rochor",,1.2990136,103.8505193,2017-10-21T00:00:00Z
 DT22 ,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,21 October 2017,Sungei Road,JLB,Rochor,,1.3055083,103.8554325,2017-10-21T00:00:00Z
 DT23 ,Bendemeer,明地迷亚,பெண்டிமியர்,21 October 2017,Jalan Besar,BDM,Kallang,,1.3200375,103.861623,2017-10-21T00:00:00Z
 DT24 ,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,21 October 2017,Kallang Bahru,GLB,Kallang,,1.3213087,103.8713815,2017-10-21T00:00:00Z
 DT25 ,Mattar,玛达,மாத்தார்,21 October 2017,Mattar,MTR,Geylang,,1.3272214,103.8828949,2017-10-21T00:00:00Z
 DT27 ,Ubi,乌美,உபி,21 October 2017,Ubi,UBI,Geylang,,1.3298687,103.900048,2017-10-21T00:00:00Z
 DT28 ,Kaki Bukit,加基武吉,காக்கி புக்கிட்,21 October 2017,Kaki Bukit,KKB,Bedok,,1.334927,103.909016,2017-10-21T00:00:00Z
 DT29 ,Bedok North,勿洛北,பிடோக் நார்த்,21 October 2017,Bedok Town Park,BDN,Bedok,,1.3351391,103.918397,2017-10-21T00:00:00Z
 DT30 ,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,21 October 2017,Bedok Reservoir,BDR,Bedok,,1.3366807,103.9326699,2017-10-21T00:00:00Z
 DT31 ,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,21 October 2017,Tampines West,TPW,Tampines,,1.3495907,103.9567879,2017-10-21T00:00:00Z
 DT33 ,Tampines East,淡滨尼东,தெம்பினிஸ் ஈஸ்ட்,21 October 2017,Tampines East,TPE,Tampines,,1.3495907,103.9567879,2017-10-21T00:00:00Z
 DT34 ,Upper Changi,樟宜上段,அப்பர் சாங்கி,21 October 2017,Upper Changi,UPC,Tampines,,1.3421647,103.961505,2017-10-21T00:00:00Z
